Time, temp, hum
11/01/2022 15:37:07,78.3,43.2
11/01/2022 15:40:56,78.3,43.3
11/01/2022 15:41:06,78.3,43.3
11/01/2022 15:41:16,78.7,61.5
11/01/2022 15:41:27,80.0,64.3
11/01/2022 15:41:37,81.3,61.9
11/01/2022 15:41:47,82.1,46.2
11/01/2022 15:41:57,82.4,42.6
11/01/2022 15:42:07,82.3,41.3
11/01/2022 15:42:18,82.0,41.0
11/01/2022 15:42:28,81.7,40.9
